title,author,summary,bookcover,book_url
I Know Why the Caged Bird Sings,Maya Angelou,"Maya Angelou’s debut memoir is a modern American classic beloved worldwide. Her life story is told in the documentary film And Still I Rise, as seen on PBS’s American Masters.Here is a book as joyous and painful, as mysterious and memorable, as childhood itself. I Know Why the Caged Bird Sings captures the longing of lonely children, the brute insult of bigotry, and the woMaya Angelou’s debut memoir is a modern American classic beloved worldwide. Her life story is told in the documentary film And Still I Rise, as seen on PBS’s American Masters.Here is a book as joyous and painful, as mysterious and memorable, as childhood itself. I Know Why the Caged Bird Sings captures the longing of lonely children, the brute insult of bigotry, and the wonder of words that can make the world right. Maya Angelou’s debut memoir is a modern American classic beloved worldwide. Sent by their mother to live with their devout, self-sufficient grandmother in a small Southern town, Maya and her brother, Bailey, endure the ache of abandonment and the prejudice of the local “powhitetrash.” At eight years old and back at her mother’s side in St. Louis, Maya is attacked by a man many times her age—and has to live with the consequences for a lifetime. Years later, in San Francisco, Maya learns that love for herself, the kindness of others, her own strong spirit, and the ideas of great authors (“I met and fell in love with William Shakespeare”) will allow her to be free instead of imprisoned. Poetic and powerful, I Know Why the Caged Bird Sings will touch hearts and change minds for as long as people read.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327957927l/13214.jpg,https://www.goodreads.com//book/show/13214.I_Know_Why_the_Caged_Bird_Sings
Neuromancer,William Gibson,"Hotwired to the leading edges of art and technology, Neuromancer is a cyberpunk, science fiction masterpiece—a classic that ranks with 1984 and Brave New World as one of the twentieth century’s most potent visions of the future.The Matrix is a world within the world, a global consensus-hallucination, the representation of every byte of data in cyberspace...Henry Dorsett CaHotwired to the leading edges of art and technology, Neuromancer is a cyberpunk, science fiction masterpiece—a classic that ranks with 1984 and Brave New World as one of the twentieth century’s most potent visions of the future.The Matrix is a world within the world, a global consensus-hallucination, the representation of every byte of data in cyberspace...Henry Dorsett Case was the sharpest data-thief in the business, until vengeful former employees crippled his nervous system. But now a new and very mysterious employer recruits him for a last-chance run. The target: an unthinkably powerful artificial intelligence orbiting Earth in service of the sinister Tessier-Ashpool business clan. With a dead man riding shotgun and Molly, mirror-eyed street-samurai, to watch his back, Case embarks on an adventure that ups the ante on an entire genre of fiction.The winner of the Hugo, Nebula, and Philip K. Dick Awards, Neuromancer was the first fully-realized glimpse of humankind’s digital future—a shocking vision that has challenged our assumptions about our technology and ourselves, reinvented the way we speak and think, and forever altered the landscape of our imaginations.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1554437249l/6088007._SY475_.jpg,https://www.goodreads.com//book/show/6088007-neuromancer
The Age of Innocence,Edith Wharton,"Winner of the 1921 Pulitzer Prize, The Age of Innocence is Edith Wharton’s masterful portrait of desire and betrayal during the sumptuous Golden Age of Old New York, a time when society people “dreaded scandal more than disease.”This is Newland Archer’s world as he prepares to marry the beautiful but conventional May Welland. But when the mysterious Countess Ellen Olenska Winner of the 1921 Pulitzer Prize, The Age of Innocence is Edith Wharton’s masterful portrait of desire and betrayal during the sumptuous Golden Age of Old New York, a time when society people “dreaded scandal more than disease.”This is Newland Archer’s world as he prepares to marry the beautiful but conventional May Welland. But when the mysterious Countess Ellen Olenska returns to New York after a disastrous marriage, Archer falls deeply in love with her. Torn between duty and passion, Archer struggles to make a decision that will either courageously define his life—or mercilessly destroy it.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388248423l/53835.jpg,https://www.goodreads.com//book/show/53835.The_Age_of_Innocence
Coraline,Neil Gaiman,"The day after they moved in, Coraline went exploring....In Coraline's family's new flat are twenty-one windows and fourteen doors. Thirteen of the doors open and close. The fourteenth is locked, and on the other side is only a brick wall, until the day Coraline unlocks the door to find a passage to another flat in another house just like her own. Only it's different. At fiThe day after they moved in, Coraline went exploring....In Coraline's family's new flat are twenty-one windows and fourteen doors. Thirteen of the doors open and close. The fourteenth is locked, and on the other side is only a brick wall, until the day Coraline unlocks the door to find a passage to another flat in another house just like her own. Only it's different. At first, things seem marvelous in the other flat. The food is better. The toy box is filled with wind-up angels that flutter around the bedroom, books whose pictures writhe and crawl and shimmer, little dinosaur skulls that chatter their teeth. But there's another mother, and another father, and they want Coraline to stay with them and be their little girl. They want to change her and never let her go. Other children are trapped there as well, lost souls behind the mirrors. Coraline is their only hope of rescue. She will have to fight with all her wits and all the tools she can find if she is to save the lost children, her ordinary life, and herself. Critically acclaimed and award-winning author Neil Gaiman will delight readers with his first novel for all ages.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1493497435l/17061._SY475_.jpg,https://www.goodreads.com//book/show/17061.Coraline
The Lost Symbol,Dan Brown,"WHAT IS LOST...WILL BE FOUNDIn this stunning follow-up to the global phenomenon The Da Vinci Code, Dan Brown demonstrates once again why he is the world's most popular thriller writer. The Lost Symbol is a masterstroke of storytelling - a deadly race through a real-world labyrinth of codes, secrets, and unseen truths...all under the watchful eye of Brown's most terrifying WHAT IS LOST...WILL BE FOUNDIn this stunning follow-up to the global phenomenon The Da Vinci Code, Dan Brown demonstrates once again why he is the world's most popular thriller writer. The Lost Symbol is a masterstroke of storytelling - a deadly race through a real-world labyrinth of codes, secrets, and unseen truths...all under the watchful eye of Brown's most terrifying villain to date. Set within the hidden chambers, tunnels, and temples of Washington, DC., The Lost Symbol accelerates through a startling landscape toward an unthinkable finale.As the story opens, Harvard symbologist Robert Langdon is summoned unexpectedly to deliver an evening lecture in the U.S. Capitol Building. Within minutes of his arrival, however, the night takes a bizarre turn. A disturbing object - artfully encoded with five symbols - is discovered in the Capitol Building. Langdon recognizes the object as an ancient invitation...one meant to usher its recipient into a long-lost world of esoteric wisdom.When Langdon's beloved mentor, Peter Solomon - a prominent Mason and philanthropist - is brutally kidnapped, Langdon realizes his only hope of saving Peter is to accept this mystical invitation and follow wherever it leads him. Langdon is instantly into a clandestine world of Masonic secrets, hidden history, and never-before-seen locations - all of which seem to be dragging him toward a single, inconceivable truth.As the world discovered in The Da Vinci Code and Angels & Demons, Dan Brown's novels are brilliant tapestries of veiled histories, arcane symbols, and enigmatic codes. In this new novel, he again challenges readers with an intelligent, lightning-paced story that offers surprises at every turn. The Lost Symbol is exactly what Brown's fans have been waiting for...his most thrilling novel yet.(jacket)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1534070883l/6411961.jpg,https://www.goodreads.com//book/show/6411961-the-lost-symbol
Lover Awakened,J.R. Ward,"In the shadows of the night in Caldwell, New York, there’s a deadly war raging between vampires and their slayers. And there exists a secret band of brothers like no other - six vampire warriors, defenders of their race. Of these, Zsadist is the most terrifying member of the Black Dagger Brotherhood.A former blood slave, the vampire Zsadist still bears the scars from a pasIn the shadows of the night in Caldwell, New York, there’s a deadly war raging between vampires and their slayers. And there exists a secret band of brothers like no other - six vampire warriors, defenders of their race. Of these, Zsadist is the most terrifying member of the Black Dagger Brotherhood.A former blood slave, the vampire Zsadist still bears the scars from a past filled with suffering and humiliation. Renowned for his unquenchable fury and sinister deeds, he is a savage feared by humans and vampires alike. Anger is his only companion, and terror is his only passion—until he rescues a beautiful aristocrat from the evil Lessening Society.Bella is instantly entranced by the seething power Zsadist possesses. But even as their desire for one another begins to overtake them both, Zsadist’s thirst for vengeance against Bella’s tormentors drives him to the brink of madness. Now, Bella must help her lover overcome the wounds of his tortured past, and find a future with her…",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388773547l/42900.jpg,https://www.goodreads.com//book/show/42900.Lover_Awakened
Dubliners,James Joyce,"This work of art reflects life in Ireland at the turn of the last century, and by rejecting euphemism, reveals to the Irish their unromantic realities. Each of the 15 stories offers glimpses into the lives of ordinary Dubliners, and collectively they paint a portrait of a ",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1334138184l/11012._SX318_.jpg,https://www.goodreads.com//book/show/11012.Dubliners
The Voyage of the Dawn Treader,C.S. Lewis,"NARNIA... the world of wicked dragons and magic spells, where the very best is brought out of even the worst people, where anything can happen (and most often does)... and where the adventure begins.The Dawn Treader is the first ship Narnia has seen in centuries. King Caspian has built it for his voyage to find the seven lords, good men whom his evil uncle Miraz banished wNARNIA... the world of wicked dragons and magic spells, where the very best is brought out of even the worst people, where anything can happen (and most often does)... and where the adventure begins.The Dawn Treader is the first ship Narnia has seen in centuries. King Caspian has built it for his voyage to find the seven lords, good men whom his evil uncle Miraz banished when he usurped the throne. The journey takes Edmund, Lucy, and their cousin Eustace to the Eastern Islands, beyond the Silver Sea, toward Aslan's country at the End of the World.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1343185059l/140225.jpg,https://www.goodreads.com//book/show/140225.The_Voyage_of_the_Dawn_Treader
Betrayed,P.C. Cast,"Also see: Alternate Cover Editions for this ISBN [ACE]  ACE #1Zoey, High Priestess in training, has managed to settle in at the House of Night and come to terms with the vast powers the Vampyre Goddess Nyx has given her. Just as she finally feels she belongs, the unthinkable happens: human teenagers are being killed, and all evidence points to the House of Night. WhileAlso see: Alternate Cover Editions for this ISBN [ACE]  ACE #1Zoey, High Priestess in training, has managed to settle in at the House of Night and come to terms with the vast powers the Vampyre Goddess Nyx has given her. Just as she finally feels she belongs, the unthinkable happens: human teenagers are being killed, and all evidence points to the House of Night. While danger stalks the humans from Zoey’s old life, she begins to realize that the very powers that make her so unique might also threaten those she loves.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1406941788l/676924.jpg,https://www.goodreads.com//book/show/676924.Betrayed
Carrie,Stephen King,"A modern classic, Carrie introduced a distinctive new voice in American fiction -- Stephen King. The story of misunderstood high school girl Carrie White, her extraordinary telekinetic powers, and her violent rampage of revenge, remains one of the most barrier-breaking and shocking novels of all time.Make a date with terror and live the nightmare that is...Carrie--back covA modern classic, Carrie introduced a distinctive new voice in American fiction -- Stephen King. The story of misunderstood high school girl Carrie White, her extraordinary telekinetic powers, and her violent rampage of revenge, remains one of the most barrier-breaking and shocking novels of all time.Make a date with terror and live the nightmare that is...Carrie--back cover",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1166254258l/10592._SY475_.jpg,https://www.goodreads.com//book/show/10592.Carrie
Red Queen,Victoria Aveyard,"This is a world divided by blood—red or silver. The Reds are commoners, ruled by a Silver elite in possession of god-like superpowers. And to Mare Barrow, a seventeen-year-old Red girl from the poverty-stricken Stilts, it seems like nothing will ever change. That is until she finds herself working in the Silver Palace. Here, surrounded by the people she hates the most, MarThis is a world divided by blood—red or silver. The Reds are commoners, ruled by a Silver elite in possession of god-like superpowers. And to Mare Barrow, a seventeen-year-old Red girl from the poverty-stricken Stilts, it seems like nothing will ever change. That is until she finds herself working in the Silver Palace. Here, surrounded by the people she hates the most, Mare discovers that, despite her red blood, she possesses a deadly power of her own. One that threatens to destroy the balance of power. Fearful of Mare's potential, the Silvers hide her in plain view, declaring her a long-lost Silver princess, now engaged to a Silver prince. Despite knowing that one misstep would mean her death, Mare works silently to help the Red Guard, a militant resistance group, and bring down the Silver regime. But this is a world of betrayal and lies, and Mare has entered a dangerous dance—Reds against Silvers, prince against prince, and Mare against her own heart.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1449778912l/22328546._SY475_.jpg,https://www.goodreads.com//book/show/22328546-red-queen
The Waste Land,T.S. Eliot,"The text of Eliot's 1922 masterpiece is accompanied by thorough explanatory annotations as well as by Eliot's own knotty notes, some of which require annotation themselves.For ease of reading, this Norton Critical Edition presents The Waste Land as it first appeared in the American edition (Boni & Liveright), with Eliot's notes at the end. ""Contexts"" provides readers with The text of Eliot's 1922 masterpiece is accompanied by thorough explanatory annotations as well as by Eliot's own knotty notes, some of which require annotation themselves.For ease of reading, this Norton Critical Edition presents The Waste Land as it first appeared in the American edition (Boni & Liveright), with Eliot's notes at the end. ""Contexts"" provides readers with invaluable materials on The Waste Land's sources, composition, and publication history. ""Criticism"" traces the poem's reception with twenty-five reviews and essays, from first reactions through the end of the twentieth century. Included are reviews published in the Times Literary Supplement, along with selections by Virginia Woolf, Gilbert Seldes, Edmund Wilson, Elinor Wylie, Conrad Aiken, Charles Powell, Gorham Munson, Malcolm Cowley, Ralph Ellison, John Crowe Ransom, I. A. Richards, F. R. Leavis, Cleanth Brooks, Delmore Schwartz, Denis Donoghue, Robert Langbaum, Marianne Thormählen, A. D. Moody, Ronald Bush, Maud Ellman, and Tim Armstrong. A Chronology and Selected Bibliography are included.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1597549396l/34080._SY475_.jpg,https://www.goodreads.com//book/show/34080.The_Waste_Land
"I, Robot",Isaac Asimov,"Isaac Asimov's I, Robot launches readers on an adventure into a not-so-distant future where man and machine , struggle to redefinelife, love, and consciousness—and where the stakes are nothing less than survival. Filled with unforgettable characters, mind-bending speculation, and nonstop action, I, Robot is a powerful reading experience from one of the master storytellers Isaac Asimov's I, Robot launches readers on an adventure into a not-so-distant future where man and machine , struggle to redefinelife, love, and consciousness—and where the stakes are nothing less than survival. Filled with unforgettable characters, mind-bending speculation, and nonstop action, I, Robot is a powerful reading experience from one of the master storytellers of our time. I, ROBOT They mustn't harm a human being, they must obey hitman orders, and they must protect their own existence...but only so long as that doesn't violate rules one and two. With these Three Laws of Robotics, humanity embarked on perhaps its greatest adventure: the invention of the first positronic man. It was a bold new era of evolution that would open up enormous possibilities—and unforeseen risks. For the scientists who invented the earliest robots weren't content that their creations should ' remain programmed helpers, companions, and semisentient worker-machines. And soon the robots themselves; aware of their own intelligence, power, and humanity, aren't either. As humans and robots struggle to survive together—and sometimes against each other—on earth and in space, the future of both hangs in the balance. Human men and women confront robots gone mad, telepathic robots, robot politicians, and vast robotic intelligences that may already secretly control the world. And both are asking the same questions: What is human? And is humanity obsolete? In l, Robot Isaac Asimov changes forever our perception of robots, and human beings and updates the timeless myth of man's dream to play god. with all its rewards—and terrors.--front flap",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1609035271l/41804.jpg,https://www.goodreads.com//book/show/41804.I_Robot
Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells,"When Siddalee Walker, oldest daughter of Vivi Abbott Walker, Ya-Ya extraordinaire, is interviewed in the New York Times about a hit play she's directed, her mother gets described as a ""tap-dancing child abuser."" Enraged, Vivi disowns Sidda. Devastated, Sidda begs forgiveness, and postpones her upcoming wedding. All looks bleak until the Ya-Yas step in and convince Vivi to When Siddalee Walker, oldest daughter of Vivi Abbott Walker, Ya-Ya extraordinaire, is interviewed in the New York Times about a hit play she's directed, her mother gets described as a ""tap-dancing child abuser."" Enraged, Vivi disowns Sidda. Devastated, Sidda begs forgiveness, and postpones her upcoming wedding. All looks bleak until the Ya-Yas step in and convince Vivi to send Sidda a scrapbook of their girlhood mementos, called ""Divine Secrets of the Ya-Ya Sisterhood."" As Sidda struggles to analyze her mother, she comes face to face with the tangled beauty of imperfect love, and the fact that forgiveness, more than understanding, is often what the heart longs for.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1408313524l/137791.jpg,https://www.goodreads.com//book/show/137791.Divine_Secrets_of_the_Ya_Ya_Sisterhood
The Pearl,John Steinbeck,"Like his father and grandfather before him, Kino is a poor diver, gathering pearls from the gulf beds that once brought great wealth to the kings of Spain and now provide Kino, Juana, and their infant son with meager subsistence. Then, on a day like any other, Kino emerges from the sea with a pearl as large as a sea gull’s egg, as “perfect as the moon.” With the pearl comeLike his father and grandfather before him, Kino is a poor diver, gathering pearls from the gulf beds that once brought great wealth to the kings of Spain and now provide Kino, Juana, and their infant son with meager subsistence. Then, on a day like any other, Kino emerges from the sea with a pearl as large as a sea gull’s egg, as “perfect as the moon.” With the pearl comes hope, the promise of comfort and of security…A story of classic simplicity, based on a Mexican folk tale, The Pearl explores the secrets of man’s nature, greed, the darkest depths of evil, and the luminous possibilities of love.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1437234939l/5308.jpg,https://www.goodreads.com//book/show/5308.The_Pearl
All the Bright Places,Jennifer Niven,"The Fault in Our Stars meets Eleanor and Park in this exhilarating and heart-wrenching love story about a girl who learns to live from a boy who intends to die.Soon to be a major motion picture starring Elle Fanning! Theodore Finch is fascinated by death, and he constantly thinks of ways he might kill himself. But each time, something good, no matter how small, stops him. The Fault in Our Stars meets Eleanor and Park in this exhilarating and heart-wrenching love story about a girl who learns to live from a boy who intends to die.Soon to be a major motion picture starring Elle Fanning! Theodore Finch is fascinated by death, and he constantly thinks of ways he might kill himself. But each time, something good, no matter how small, stops him. Violet Markey lives for the future, counting the days until graduation, when she can escape her Indiana town and her aching grief in the wake of her sister’s recent death. When Finch and Violet meet on the ledge of the bell tower at school, it’s unclear who saves whom. And when they pair up on a project to discover the “natural wonders” of their state, both Finch and Violet make more important discoveries: It’s only with Violet that Finch can be himself—a weird, funny, live-out-loud guy who’s not such a freak after all. And it’s only with Finch that Violet can forget to count away the days and start living them. But as Violet’s world grows, Finch’s begins to shrink. This is an intense, gripping novel perfect for fans of Jay Asher, Rainbow Rowell, John Green, Gayle Forman, and Jenny Downham from a talented new voice in YA, Jennifer Niven.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404331702l/18460392.jpg,https://www.goodreads.com//book/show/18460392-all-the-bright-places
To the Lighthouse,Virginia Woolf,"The serene and maternal Mrs. Ramsay, the tragic yet absurd Mr. Ramsay, and their children and assorted guests are on holiday on the Isle of Skye. From the seemingly trivial postponement of a visit to a nearby lighthouse, Woolf constructs a remarkable, moving examination of the complex tensions and allegiances of family life and the conflict between men and women.As time wiThe serene and maternal Mrs. Ramsay, the tragic yet absurd Mr. Ramsay, and their children and assorted guests are on holiday on the Isle of Skye. From the seemingly trivial postponement of a visit to a nearby lighthouse, Woolf constructs a remarkable, moving examination of the complex tensions and allegiances of family life and the conflict between men and women.As time winds its way through their lives, the Ramsays face, alone and simultaneously, the greatest of human challenges and its greatest triumph—the human capacity for change.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1639106809l/59716._SY475_.jpg,https://www.goodreads.com//book/show/59716.To_the_Lighthouse
A Dance with Dragons,George R.R. Martin,"Alternate cover edition of ASIN B004XISI4AIn the aftermath of a colossal battle, the future of the Seven Kingdoms hangs in the balance—beset by newly emerging threats from every direction. In the east, Daenerys Targaryen, the last scion of House Targaryen, rules with her three dragons as queen of a city built on dust and death. But Daenerys has thousands of enemies, and maAlternate cover edition of ASIN B004XISI4AIn the aftermath of a colossal battle, the future of the Seven Kingdoms hangs in the balance—beset by newly emerging threats from every direction. In the east, Daenerys Targaryen, the last scion of House Targaryen, rules with her three dragons as queen of a city built on dust and death. But Daenerys has thousands of enemies, and many have set out to find her. As they gather, one young man embarks upon his own quest for the queen, with an entirely different goal in mind.Fleeing from Westeros with a price on his head, Tyrion Lannister, too, is making his way to Daenerys. But his newest allies in this quest are not the rag-tag band they seem, and at their heart lies one who could undo Daenerys’s claim to Westeros forever.Meanwhile, to the north lies the mammoth Wall of ice and stone—a structure only as strong as those guarding it. There, Jon Snow, 998th Lord Commander of the Night’s Watch, will face his greatest challenge. For he has powerful foes not only within the Watch but also beyond, in the land of the creatures of ice.From all corners, bitter conflicts reignite, intimate betrayals are perpetrated, and a grand cast of outlaws and priests, soldiers and skinchangers, nobles and slaves, will face seemingly insurmountable obstacles. Some will fail, others will grow in the strength of darkness. But in a time of rising restlessness, the tides of destiny and politics will lead inevitably to the greatest dance of all.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1581625286l/10664113._SX318_.jpg,https://www.goodreads.com//book/show/10664113-a-dance-with-dragons
Untamed,P.C. Cast,"Zoey Redbird's adventures at vampyre finishing school take a wild and dangerous turn as loyalties are tested and shocking true intentions come to light, in this spellbinding fourth novel in the House of Night series.Zoey Redbird's adventures at vampyre finishing school take a wild and dangerous turn as loyalties are tested and shocking true intentions come to light, in this spellbinding fourth novel in the House of Night series.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1438037020l/2866718.jpg,https://www.goodreads.com//book/show/2866718-untamed
The Twilight Collection,Stephenie Meyer,"Deeply romantic and extraordinarily suspenseful,Twilight,New Moon, andEclipsecapture the struggle between defying our instincts and satisfying our desires. This stunning set includes three hardcover books, two full-color posters and exclusive tattoos, and makes the perfect gift for fans of this bestselling vampire love",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388187657l/690926.jpg,https://www.goodreads.com//book/show/690926.The_Twilight_Collection
Everything Is Illuminated,Jonathan Safran Foer,"With only a yellowing photograph in hand, a young man -- also named Jonathan Safran Foer -- sets out to find the woman who may or may not have saved his grandfather from the Nazis. Accompanied by an old man haunted by memories of the war; an amorous dog named Sammy Davis, Junior, Junior; and the unforgettable Alex, a young Ukrainian translator who speaks in a sublimely butWith only a yellowing photograph in hand, a young man -- also named Jonathan Safran Foer -- sets out to find the woman who may or may not have saved his grandfather from the Nazis. Accompanied by an old man haunted by memories of the war; an amorous dog named Sammy Davis, Junior, Junior; and the unforgettable Alex, a young Ukrainian translator who speaks in a sublimely butchered English, Jonathan is led on a quixotic journey over a devastated landscape and into an unexpected past.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1479774440l/256566._SY475_.jpg,https://www.goodreads.com//book/show/256566.Everything_Is_Illuminated
Voyager,Diana Gabaldon,"From the author of the breathtaking bestsellers Outlander and Dragonfly in Amber, the extraordinary saga continues.Their passionate encounter happened long ago by whatever measurement Claire Randall took. Two decades before, she had traveled back in time and into the arms of a gallant eighteenth-century Scot named Jamie Fraser. Then she returned to her own century to bear From the author of the breathtaking bestsellers Outlander and Dragonfly in Amber, the extraordinary saga continues.Their passionate encounter happened long ago by whatever measurement Claire Randall took. Two decades before, she had traveled back in time and into the arms of a gallant eighteenth-century Scot named Jamie Fraser. Then she returned to her own century to bear his child, believing him dead in the tragic battle of Culloden. Yet his memory has never lessened its hold on her... and her body still cries out for him in her dreams.Then Claire discovers that Jamie survived. Torn between returning to him and staying with their daughter in her own era, Claire must choose her destiny. And as time and space come full circle, she must find the courage to face the passion and pain awaiting her...the deadly intrigues raging in a divided Scotland... and the daring voyage into the dark unknown that can reunite or forever doom her timeless love.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1483278195l/10987._SY475_.jpg,https://www.goodreads.com//book/show/10987.Voyager
The Jungle,Upton Sinclair,"For nearly a century, the original version of Upton Sinclair's classic novel has remained almost entirely unknown. When it was published in serial form in 1905, it was a full third longer than the censored, commercial edition published in book form the following year. That expurgated commercial edition edited out much of the ethnic flavor of the original, as well as some oFor nearly a century, the original version of Upton Sinclair's classic novel has remained almost entirely unknown. When it was published in serial form in 1905, it was a full third longer than the censored, commercial edition published in book form the following year. That expurgated commercial edition edited out much of the ethnic flavor of the original, as well as some of the goriest descriptions of the meat-packing industry and much of Sinclair's most pointed social and political commentary. The text of this new edition is as it appeared in the original uncensored edition of 1905. It contains the full 36 chapters as originally published, rather than the 31 of the expurgated edition. A new foreword describes the discovery in the 1980s of the original edition and its subsequent suppression, and a new introduction places the novel in historical context by explaining the pattern of censorship in the shorter commercial edition.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1332140681l/41681.jpg,https://www.goodreads.com//book/show/41681.The_Jungle
A Room with a View,E.M. Forster,"""But you do,"" he went on, not waiting for contradiction. ""You love the boy body and soul, plainly, directly, as he loves you, and no other word expresses it ...""Lucy has her rigid, middle-class life mapped out for her, until she visits Florence with her uptight cousin Charlotte, and finds her neatly ordered existence thrown off balance. Her eyes are opened by the unconvent""But you do,"" he went on, not waiting for contradiction. ""You love the boy body and soul, plainly, directly, as he loves you, and no other word expresses it ...""Lucy has her rigid, middle-class life mapped out for her, until she visits Florence with her uptight cousin Charlotte, and finds her neatly ordered existence thrown off balance. Her eyes are opened by the unconventional characters she meets at the Pension Bertolini: flamboyant romantic novelist Eleanor Lavish, the Cockney Signora, curious Mr Emerson and, most of all, his passionate son George.Lucy finds herself torn between the intensity of life in Italy and the repressed morals of Edwardian England, personified in her terminally dull fiancé Cecil Vyse. Will she ever learn to follow her own heart?",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388781285l/3087.jpg,https://www.goodreads.com//book/show/3087.A_Room_with_a_View
"I, Claudius",Robert Graves,"Into the 'autobiography' of Clau-Clau-Claudius, the pitiful stammerer who was destined to become Emperor in spite of himself, Graves packs the everlasting intrigues, the depravity, the bloody purges and mounting cruelty of the reigns of Augustus and Tiberius, soon to culminate in the deified insanity of Caligula.I, Claudius and its sequel, Claudius the God, are among the mInto the 'autobiography' of Clau-Clau-Claudius, the pitiful stammerer who was destined to become Emperor in spite of himself, Graves packs the everlasting intrigues, the depravity, the bloody purges and mounting cruelty of the reigns of Augustus and Tiberius, soon to culminate in the deified insanity of Caligula.I, Claudius and its sequel, Claudius the God, are among the most celebrated, as well the most gripping historical novels ever written.Cover illustration: Brian Pike",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1611780411l/18765._SY475_.jpg,https://www.goodreads.com//book/show/18765.I_Claudius
Pet Sematary,Stephen King,"'This is an alternate Cover Edition for ASIN: B00K3NEE56. When the Creeds move into a beautiful old house in rural Maine, it all seems too good to be true: physician father, beautiful wife, charming little daughter, adorable infant son-and now an idyllic home. As a family, they've got it all...right down to the friendly car. But the nearby woods hide a blood-chilling truth'This is an alternate Cover Edition for ASIN: B00K3NEE56. When the Creeds move into a beautiful old house in rural Maine, it all seems too good to be true: physician father, beautiful wife, charming little daughter, adorable infant son-and now an idyllic home. As a family, they've got it all...right down to the friendly car. But the nearby woods hide a blood-chilling truth-more terrifying than death itself-and hideously more powerful. The Creeds are going to learn that sometimes dead is better.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1480069533l/33124137._SY475_.jpg,https://www.goodreads.com//book/show/33124137-pet-sematary
Me Talk Pretty One Day,David Sedaris,"David Sedaris' move to Paris from New York inspired these hilarious pieces, including the title essay, about his attempts to learn French from a sadistic teacher who declares that every day spent with you is like having a caesarean section. His family is another inspiration. You Can't Kill the Rooster is a portrait of his brother, who talks incessant hip-hop slang to his bDavid Sedaris' move to Paris from New York inspired these hilarious pieces, including the title essay, about his attempts to learn French from a sadistic teacher who declares that every day spent with you is like having a caesarean section. His family is another inspiration. You Can't Kill the Rooster is a portrait of his brother, who talks incessant hip-hop slang to his bewildered father. And no one hones a finer fury in response to such modern annoyances as restaurant meals presented in ludicrous towers of food and cashiers with six-inch fingernails.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1431013639l/4137.jpg,https://www.goodreads.com//book/show/4137.Me_Talk_Pretty_One_Day
Snow Falling on Cedars,David Guterson,"Gripping, tragic, and densely atmospheric—a masterpiece of suspense San Piedro Island, north of Puget Sound, is a place so isolated that no one who lives there can afford to make enemies. But in 1954 a local fisherman is found suspiciously drowned, and a Japanese American named Kabuo Miyamoto is charged with his murder. In the course of the ensuing trial, it becomes clear Gripping, tragic, and densely atmospheric—a masterpiece of suspense San Piedro Island, north of Puget Sound, is a place so isolated that no one who lives there can afford to make enemies. But in 1954 a local fisherman is found suspiciously drowned, and a Japanese American named Kabuo Miyamoto is charged with his murder. In the course of the ensuing trial, it becomes clear that what is at stake is more than a man's guilt. For on San Pedro, memories of a charmed love affair between a white boy and the Japanese girl who grew up to become Kabuo's wife; memories of land desired, paid for, and lost. Above all, San Piedro is haunted by the memory of what happened to its Japanese residents during World War II, when an entire community was sent into exile while its neighbors watched.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1479863528l/77142.jpg,https://www.goodreads.com//book/show/77142.Snow_Falling_on_Cedars
